frame_index,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,measured_elapsed_seconds,section_id,section_name,section_flags,section_flag_names,total_ticks,component_total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,player_x_raw,player_y_raw,player_x,player_y,map_x,map_y,angle_raw,angle_degrees,move_axis,turn_axis,casts,logical_columns,portal_layer_casts,max_depth,ray_layer_depth,portal_recursion_depth,flags,detailed,timing_excluded_from_clean_stats,crossed_portal,changed,section_end,section_small_room,section_large_room,section_slow_turn,section_fast_turn,section_portal_view,section_portal_approach,section_portal_cross,section_stress,detail_corrected_total_ms,admin_corrected_ms,wait_corrected_ms,background_corrected_ms,dda_corrected_ms,portal_trace_corrected_ms,wall_draw_corrected_ms,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,0.03333333333333333,1683,51.361083984375,0.051361083984375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1683,1683,51.361083984375,19.469994058229354,15,0.457763671875,1668,50.9033203125,0,0.0,364,640,1.421875,2.5,1,2,8192,180.0,1,0,166,80,86,3,3,2,0x06,1,0,0,1,0,0,1,0,0,1,1,1,0,52.490234375,4.364013671875,0.0,10.80322265625,14.007568359375,11.65771484375,7.01904296875,4.638671875,86,80,86,86,86,2736,898
1,0.06666666666666667,3357,102.447509765625,0.102447509765625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1674,1674,51.08642578125,19.574671445639186,15,0.457763671875,1659,50.628662109375,0,0.0,344,640,1.34375,2.5,1,2,8192,180.0,1,0,165,80,85,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
2,0.1,5023,153.289794921875,0.153289794921875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1666,1666,50.84228515625,19.668667466986793,15,0.457763671875,1651,50.384521484375,0,0.0,324,640,1.265625,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
3,0.13333333333333333,6695,204.315185546875,0.204315185546875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1672,1672,51.025390625,19.598086124401913,15,0.457763671875,1657,50.567626953125,0,0.0,304,640,1.1875,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
4,0.16666666666666666,7795,237.884521484375,0.237884521484375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1100,1100,33.5693359375,29.78909090909091,18,0.54931640625,1081,32.989501953125,1,0.030517578125,896,321,3.5,1.25390625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x05,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
5,0.2,8886,271.17919921875,0.27117919921875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1091,1091,33.294677734375,30.034830430797435,14,0.42724609375,1077,32.867431640625,0,0.0,896,341,3.5,1.33203125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
6,0.23333333333333334,9982,304.62646484375,0.30462646484375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1096,1096,33.447265625,29.8978102189781,14,0.42724609375,1082,33.02001953125,0,0.0,896,361,3.5,1.41015625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
7,0.26666666666666666,11076,338.0126953125,0.3380126953125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1094,1094,33.38623046875,29.952468007312614,13,0.396728515625,1080,32.958984375,1,0.030517578125,896,381,3.5,1.48828125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x0C,0,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
8,0.3,12171,371.429443359375,0.371429443359375,2,LARGE_ENTRY,0x02,large_room,1095,1095,33.416748046875,29.92511415525114,14,0.42724609375,1081,32.989501953125,0,0.0,896,401,3.5,1.56640625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,0.3333333333333333,13270,404.96826171875,0.40496826171875,2,LARGE_ENTRY,0x02,large_room,1099,1099,33.538818359375,29.816196542311193,13,0.396728515625,1085,33.111572265625,1,0.030517578125,896,421,3.5,1.64453125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
